Record ID,Country,ISO3,Type,RD_Years
68152,Algeria,DZA,Collab,3.937029
67657,Algeria,DZA,Collab,2.814511
66885,Algeria,DZA,Collab,3.085558
66827,Algeria,DZA,Collab,0
65988,Algeria,DZA,Collab,2.335387
65984,Algeria,DZA,Collab,3.151266
64987,Algeria,DZA,Collab,1.092402
64702,Algeria,DZA,Collab,1.344285
63121,Algeria,DZA,Collab,1.990418
62263,Algeria,DZA,Collab,1.32512
59674,Algeria,DZA,Collab,0.974675
59195,Algeria,DZA,Collab,1.615332
58795,Algeria,DZA,Collab,0.70089
58713,Algeria,DZA,Collab,1.738535
57792,Algeria,DZA,Collab,11.589322
57375,Algeria,DZA,Collab,1.385352
56913,Algeria,DZA,Collab,2.880219
47634,Algeria,DZA,Collab,1.453799
45683,Algeria,DZA,Collab,5.073238
45678,Algeria,DZA,Collab,4.657084
45638,Algeria,DZA,Collab,9.787817
45635,Algeria,DZA,Collab,2.787132
44670,Algeria,DZA,Collab,4.049281
42367,Algeria,DZA,Collab,0.344969
41905,Algeria,DZA,Collab,0
41581,Algeria,DZA,Collab,0.052019
38934,Algeria,DZA,Collab,1.393566
35757,Algeria,DZA,Collab,6.116359
34904,Algeria,DZA,Collab,2.297057
32024,Algeria,DZA,Collab,0.150582
23272,Algeria,DZA,Collab,1.144422
21755,Algeria,DZA,Collab,0.769336
20996,Algeria,DZA,Collab,0
19966,Algeria,DZA,Collab,0.54757
19569,Algeria,DZA,Collab,3.039014
19381,Algeria,DZA,Collab,1.379877
19227,Algeria,DZA,Collab,0.999316
18738,Algeria,DZA,Collab,0.684463
18523,Algeria,DZA,Collab,1.284052
18522,Algeria,DZA,Collab,2.748802
18245,Algeria,DZA,Collab,0.210815
17785,Algeria,DZA,Collab,0.131417
17492,Algeria,DZA,Collab,0.309377
16995,Algeria,DZA,Collab,1.998631
16993,Algeria,DZA,Collab,1.081451
16793,Algeria,DZA,Collab,3.906913
12767,Algeria,DZA,Collab,5.500342
9803,Algeria,DZA,Collab,0.002738
8078,Algeria,DZA,Collab,0.123203
5356,Algeria,DZA,Collab,0.845996
68259,Algeria,DZA,Single,1.585216
64578,Algeria,DZA,Single,2.398357
64471,Algeria,DZA,Single,0
63100,Algeria,DZA,Single,1.631759
62635,Algeria,DZA,Single,0.681725
50681,Algeria,DZA,Single,11.655031
45105,Algeria,DZA,Single,0.410678
44634,Algeria,DZA,Single,0
43627,Algeria,DZA,Single,0.555784
42779,Algeria,DZA,Single,2.89117
42510,Algeria,DZA,Single,3.189596
41039,Algeria,DZA,Single,0
40831,Algeria,DZA,Single,0
37217,Algeria,DZA,Single,0.243669
29678,Algeria,DZA,Single,1.256674
26450,Algeria,DZA,Single,2.05065
22371,Algeria,DZA,Single,1.1718
22351,Algeria,DZA,Single,0.421629
19973,Algeria,DZA,Single,0.54757
19972,Algeria,DZA,Single,0.54757
19971,Algeria,DZA,Single,0.54757
19970,Algeria,DZA,Single,0.54757
19969,Algeria,DZA,Single,0.54757
19968,Algeria,DZA,Single,0.54757
19967,Algeria,DZA,Single,0.54757
19965,Algeria,DZA,Single,0.54757
19964,Algeria,DZA,Single,0.54757
19385,Algeria,DZA,Single,5.355236
19358,Algeria,DZA,Single,0.435318
18852,Algeria,DZA,Single,0.194387
18786,Algeria,DZA,Single,1.379877
18708,Algeria,DZA,Single,5.919233
18627,Algeria,DZA,Single,0.476386
18238,Algeria,DZA,Single,2.16564
18182,Algeria,DZA,Single,0.438056
17727,Algeria,DZA,Single,0
17498,Algeria,DZA,Single,2.568104
14416,Algeria,DZA,Single,6.57358
14268,Algeria,DZA,Single,1.913758
13357,Algeria,DZA,Single,2.45859
11992,Algeria,DZA,Single,5.91102
7091,Algeria,DZA,Single,1.218344
6500,Algeria,DZA,Single,6.631075
6371,Algeria,DZA,Single,1.497604
6020,Algeria,DZA,Single,4.465435
5866,Algeria,DZA,Single,1.943874
5668,Algeria,DZA,Single,0.399726
5478,Algeria,DZA,Single,0.873374
5392,Algeria,DZA,Single,1.746749
65893,Argentina,ARG,Collab,1.889117
59136,Argentina,ARG,Collab,2.086242
58826,Argentina,ARG,Collab,2.291581
58652,Argentina,ARG,Collab,2.184805
54883,Argentina,ARG,Collab,15.890486
53660,Argentina,ARG,Collab,9.98768
53411,Argentina,ARG,Collab,15.411362
53410,Argentina,ARG,Collab,14.475017
53023,Argentina,ARG,Collab,15.091034
52482,Argentina,ARG,Collab,9.514031
51860,Argentina,ARG,Collab,0.845996
48770,Argentina,ARG,Collab,9.875428
47344,Argentina,ARG,Collab,0.99384
47109,Argentina,ARG,Collab,0.577687
44548,Argentina,ARG,Collab,1.341547
39106,Argentina,ARG,Collab,1.902806
34940,Argentina,ARG,Collab,0.70089
34934,Argentina,ARG,Collab,4.665298
31030,Argentina,ARG,Collab,15.15948
31029,Argentina,ARG,Collab,11.416838
24110,Argentina,ARG,Collab,0.334018
22975,Argentina,ARG,Collab,2.787132
22875,Argentina,ARG,Collab,2.75154
21586,Argentina,ARG,Collab,2.735113
17434,Argentina,ARG,Collab,0
16629,Argentina,ARG,Collab,0.169747
12734,Argentina,ARG,Collab,0.536619
10345,Argentina,ARG,Collab,0.024641
9607,Argentina,ARG,Collab,0.172485
8111,Argentina,ARG,Collab,0.785763
4685,Argentina,ARG,Collab,1.456537
4356,Argentina,ARG,Collab,2.759754
3811,Argentina,ARG,Collab,0.309377
3120,Argentina,ARG,Collab,0.999316
2725,Argentina,ARG,Collab,0
64752,Argentina,ARG,Single,0.490075
53962,Argentina,ARG,Single,8.052019
50123,Argentina,ARG,Single,10.373717
47963,Argentina,ARG,Single,4.43258
43626,Argentina,ARG,Single,0.013689
43625,Argentina,ARG,Single,0
42199,Argentina,ARG,Single,10.94319
40311,Argentina,ARG,Single,1.366188
33713,Argentina,ARG,Single,11.819302
29622,Argentina,ARG,Single,17.716632
26939,Argentina,ARG,Single,2.924025
26938,Argentina,ARG,Single,3.975359
24386,Argentina,ARG,Single,2.524298
22976,Argentina,ARG,Single,11.028063
21946,Argentina,ARG,Single,1.943874
21945,Argentina,ARG,Single,4.621492
21545,Argentina,ARG,Single,4.418891
20984,Argentina,ARG,Single,1.234771
20065,Argentina,ARG,Single,8.161533
19168,Argentina,ARG,Single,0
18015,Argentina,ARG,Single,1.229295
17660,Argentina,ARG,Single,1.136208
17202,Argentina,ARG,Single,6.852841
15517,Argentina,ARG,Single,0.416153
11290,Argentina,ARG,Single,3.118412
8458,Argentina,ARG,Single,4
7840,Argentina,ARG,Single,0.021903
5383,Argentina,ARG,Single,0.503765
4739,Argentina,ARG,Single,3.000684
3720,Argentina,ARG,Single,0.334018
3586,Argentina,ARG,Single,4.733744
3121,Argentina,ARG,Single,0
2609,Argentina,ARG,Single,0.334018
2228,Argentina,ARG,Single,0.498289
2033,Argentina,ARG,Single,0.380561
1711,Argentina,ARG,Single,1.557837
1137,Argentina,ARG,Single,1.149897
68251,Australia,AUS,Collab,4.884326
68095,Australia,AUS,Collab,4.109514
68023,Australia,AUS,Collab,3.63039
67983,Australia,AUS,Collab,3.70705
67959,Australia,AUS,Collab,1.412731
67932,Australia,AUS,Collab,3.255305
67847,Australia,AUS,Collab,6.45859
67775,Australia,AUS,Collab,1.806982
67769,Australia,AUS,Collab,1.445585
67759,Australia,AUS,Collab,3.192334
67758,Australia,AUS,Collab,2.485969
67747,Australia,AUS,Collab,0.25462
67746,Australia,AUS,Collab,7.340178
67745,Australia,AUS,Collab,9.568789
67693,Australia,AUS,Collab,0.605065
67624,Australia,AUS,Collab,9.218344
67523,Australia,AUS,Collab,6.852841
67522,Australia,AUS,Collab,1.423682
67521,Australia,AUS,Collab,7.203285
67520,Australia,AUS,Collab,7.657769
67519,Australia,AUS,Collab,6.710472
67405,Australia,AUS,Collab,4.528405
67061,Australia,AUS,Collab,6.587269
66962,Australia,AUS,Collab,2.206708
66869,Australia,AUS,Collab,3.277207
66798,Australia,AUS,Collab,2.819986
66764,Australia,AUS,Collab,2.787132
66592,Australia,AUS,Collab,3.356605
66564,Australia,AUS,Collab,3.162218
66550,Australia,AUS,Collab,3.077344
66402,Australia,AUS,Collab,0.72553
66319,Australia,AUS,Collab,2.433949
66311,Australia,AUS,Collab,0.386037
66177,Australia,AUS,Collab,2.288843
66137,Australia,AUS,Collab,0.588638
66108,Australia,AUS,Collab,4.120465
66002,Australia,AUS,Collab,3.066393
65881,Australia,AUS,Collab,4.325804
65867,Australia,AUS,Collab,1.664613
65857,Australia,AUS,Collab,1.371663
65834,Australia,AUS,Collab,1.68104
65805,Australia,AUS,Collab,3.471595
