Country,ISO3,RW_Single_Count,RW_Collab_Count,RW_Total_Count,WoS_Total_Publications,RR_Single_%,RR_Collab_%,RR_Total_%,CI_RR_Total_Lower_%,CI_RR_Total_Upper_%,Collaboration_Share_%,CI_Collab_Share_Lower_%,CI_Collab_Share_Upper_%,Total_Mean_RD_Years,Total_RD_≤1_%,Total_RD_1_2_%,Total_RD_2_3_%,Total_RD_3_4_%,Total_RD_4_5_%,Total_RD_>5_%,Total_Slope13,Total_Valid_RD_Count,Total_RD_Flag_<5,Single_Mean_RD_Years,Single_RD_≤1_%,Single_RD_1_2_%,Single_RD_2_3_%,Single_RD_3_4_%,Single_RD_4_5_%,Single_RD_>5_%,Single_Slope13,Single_Valid_RD_Count,Single_RD_Flag_<5,Collab_Mean_RD_Years,Collab_RD_≤1_%,Collab_RD_1_2_%,Collab_RD_2_3_%,Collab_RD_3_4_%,Collab_RD_4_5_%,Collab_RD_>5_%,Collab_Slope13,Collab_Valid_RD_Count,Collab_RD_Flag_<5,NRR_Total_RR,NRR_Single_RR,NRR_Collab_RR,NRD_Total,NRD_Single,NRD_Collab,NRRDI_Total_RR,NRRDI_Single_RR,NRRDI_Collab_RR,NSlope13_Total,NSlope13_Single,NSlope13_Collab,NRS13I_Total_RR,NRS13I_Single_RR,NRS13I_Collab_RR
China,CHN,32599,3433,36032,10226425.0,0.3187722004512818,0.0335698936822985,0.3523420941335804,0.3487289972743478,0.355992491686059,9.527642095914745,9.228788626364414,9.835124674886195,1.6011772332874998,46.697380106571934,27.952930728241565,10.47679840142096,5.253663410301954,3.249888987566608,6.36933836589698,18.11029085257549,36032,False,1.5338648832129094,48.032148225405685,27.819871775207822,10.193564219761342,4.972545170097242,3.1442682290867814,5.837602380441117,18.91929200282217,32599,False,2.240360251079978,34.022720652490534,29.216428779493157,13.166326827847364,7.923099330032042,4.252840081561317,11.41858432857559,10.428196912321583,3433,False,0.24073195704583084,0.0,0.9269442571524713,0.9226226393261899,0.9416362600162302,0.7194464602561133,0.5816772981860103,0.4708181300081151,0.8231953587042923,0.6432852142611915,0.47683369661577507,0.4696388786106234,0.44200858565351114,0.23841684830788754,0.6982915678815473
Russia,RUS,2777,343,3120,1988242.0,0.1396711265530051,0.0172514211046743,0.1569225476576795,0.1515159828777985,0.1625217215831043,10.993589743589745,9.94354727583528,12.139569870693531,2.565919900314151,24.102564102564106,23.46153846153846,11.346153846153848,18.397435897435894,16.28205128205128,6.41025641025641,6.378205128205128,3120,False,2.5860435172361607,23.51458408354339,22.68635217861001,10.731004681310766,19.517464890169247,17.824990997479297,5.725603168887288,6.391789701116312,2777,False,2.402994873514087,28.86297376093295,29.737609329446062,16.3265306122449,9.329446064139942,3.7900874635568513,11.9533527696793,6.268221574344025,343,False,0.6787977940928918,0.5703709798225007,0.9701277913310987,0.7342122063885042,0.8027187828131543,0.6703760781082464,0.706505000240698,0.6865448813178275,0.8202519347196726,0.11862884542068683,0.12410402286942017,0.31823076721035914,0.3987133197567893,0.34723750134596043,0.6441792792707289
Slovenia,SVN,12,8,20,134158.0,0.008944677171693,0.005963118114462,0.0149077952861551,0.0096510768793345,0.0230270672763729,40.0,21.880396741419272,61.3422057684794,1.8981519507186857,60.0,15.0,10.0,0.0,0.0,15.0,25.0,20,False,1.2037417294090804,58.333333333333336,25.0,8.333333333333332,0.0,0.0,8.333333333333332,25.0,12,False,2.9397672826830936,62.5,0.0,12.5,0.0,0.0,25.0,25.0,8,False,0.997147787696704,0.9866865908873709,1.0,0.864624649815469,0.9852218967226087,0.5084202359257136,0.9308862187560865,0.9859542438049897,0.7542101179628569,0.9513915364086923,0.6480446927374302,1.0,0.9742696620526982,0.8173656418124005,1.0
Japan,JPN,1370,469,1839,4268624.0,0.0320946515785883,0.0109871471462466,0.0430817987248349,0.0411576094037012,0.0450959066353063,25.50299075584557,23.56329248075012,27.54482229156671,6.32540301974967,22.07721587819467,10.657966286025014,8.374116367591082,6.7427949972811305,6.634040239260468,45.51386623164764,6.851549755301795,1839,False,6.907569557897051,18.97810218978102,8.467153284671532,8.24817518248175,7.518248175182482,6.934306569343065,49.85401459854015,5.364963503649634,1370,False,4.624831255864998,31.13006396588486,17.057569296375267,8.742004264392325,4.477611940298507,5.756929637526652,32.83582089552239,11.194029850746269,469,False,0.933991012328514,0.912962445643964,0.9867049242276527,0.0,0.23215454987441397,0.0,0.466995506164257,0.572558497759189,0.49335246211382633,0.1397967160872667,0.09519226848264892,0.4975124378109453,0.5368938642078903,0.5040773570633065,0.7421086810192989
Bulgaria,BGR,9,9,18,132009.0,0.0068177169738426,0.0068177169738426,0.0136354339476853,0.0086255383549283,0.0215545558822067,50.0,29.03070395897999,70.96929604102,1.5140314852840522,38.88888888888889,33.33333333333333,11.11111111111111,5.555555555555555,11.11111111111111,0.0,13.888888888888893,18,False,1.7175450604608715,33.33333333333333,33.33333333333333,11.11111111111111,11.11111111111111,11.11111111111111,0.0,11.111111111111107,9,False,1.3105179101072326,44.44444444444444,33.33333333333333,11.11111111111111,0.0,11.11111111111111,0.0,16.666666666666664,9,False,1.0,0.9934601760238867,0.9977384771229336,0.9396418597579058,0.91738525737238,1.0,0.9698209298789529,0.9554227166981333,0.9988692385614668,0.4545050196975476,0.2569832402234635,0.6966966966966966,0.7272525098487738,0.6252217081236751,0.8472175869098151
Iran,IRN,1343,674,2017,767421.0,0.1750017265620826,0.0878266297117227,0.2628283562738054,0.2516194241168131,0.2745352403036823,33.41596430342092,31.3906385456858,35.504342238557754,3.238930419293636,30.34209221616262,20.872583044124937,12.64253842340109,8.477937530986614,5.156172533465544,22.5086762518592,8.849776896380764,2017,False,3.684763901141774,32.315711094564406,17.051377513030527,9.60536113179449,7.892777364110201,4.318689501116903,28.81608339538347,11.35517498138496,1343,False,2.3505708256407445,26.409495548961427,28.486646884273,18.694362017804156,9.643916913946589,6.824925816023739,9.9406528189911,3.857566765578637,674,False,0.44139208142898334,0.45785602663835756,0.7833647889392449,0.602775909864637,0.6576564721481482,0.6861935468881504,0.5220839956468102,0.5577562493932529,0.7347791679136977,0.22915700722282262,0.26385520617977765,0.23049161921565492,0.335274544325903,0.3608556164090676,0.5069282040774499
Romania,ROU,126,77,203,342902.0,0.0367451925039807,0.0224553954190993,0.05920058792308,0.0515994025620074,0.067920754367276,37.93103448275862,31.53879733435751,44.771577367830055,3.650566620473864,28.078817733990142,13.79310344827586,14.77832512315271,8.866995073891626,6.403940886699508,28.078817733990142,6.650246305418718,203,False,4.433232293601904,21.428571428571427,9.523809523809524,17.46031746031746,6.349206349206349,8.73015873015873,36.507936507936506,1.984126984126984,126,False,2.369840973537072,38.961038961038966,20.77922077922078,10.38961038961039,12.987012987012983,2.5974025974025974,14.285714285714285,14.285714285714288,77,False,0.8978580307018007,0.8981521850096406,0.9563565267962173,0.5223849853953987,0.5588373767163877,0.6803793265999591,0.7101215080485996,0.7284947808630141,0.8183679266980882,0.13079446878597625,0.0,0.6100386100386102,0.5143262497438885,0.4490760925048203,0.7831975684174137
India,IND,3902,1937,5839,2575699.0,0.1514928568904984,0.0752028866727051,0.2266957435632036,0.2209613651796184,0.2325785933640216,33.17348861106354,31.97720454266117,34.39189914825525,2.4244782334649626,31.34098304504196,29.78249700291145,16.252783010789518,5.668778900496661,5.257749614660045,11.69720842610036,7.544100017126221,5839,False,2.533833191073147,36.62224500256279,21.296770886724754,16.63249615581753,5.868785238339313,6.201947719118401,13.377754997437211,9.994874423372629,3902,False,2.2041875547932355,20.70211667527104,46.87661331956634,15.487867836861124,5.265875064532782,3.355704697986577,8.311822405782138,2.607124419204956,1937,False,0.5223894203196404,0.532723121163523,0.8167709693519335,0.7618352053469895,0.8096120294159507,0.7303605448682525,0.6421123128333149,0.6711675752897368,0.773565757110093,0.17076741593934647,0.2255540061106036,0.18498002390619842,0.3465784181294934,0.37913856363706333,0.5008754966290659
Morocco,MAR,37,32,69,100482.0,0.0368225154754085,0.0318464998706235,0.0686690153460321,0.0542687946330548,0.0868870117387753,46.3768115942029,35.113991297637234,58.02179923963817,1.204971778313444,62.31884057971014,20.28985507246377,10.144927536231885,4.3478260869565215,1.4492753623188406,1.4492753623188406,26.08695652173913,69,False,1.09181049632795,72.97297297297297,16.216216216216218,5.405405405405405,0.0,2.702702702702702,2.702702702702702,33.78378378378378,37,False,1.335814510609172,50.0,25.0,15.625,9.375,0.0,0.0,17.1875,32,False,0.8766329554247666,0.8979059398140306,0.9315048699926552,1.0,1.0,0.9923674686540069,0.9383164777123834,0.9489529699070153,0.961936169323331,1.0,0.895364638381398,0.7156531531531531,0.9383164777123834,0.8966352890977143,0.8235790115729043
Brazil,BRA,287,190,477,1384521.0,0.0207291908176185,0.0137231576841376,0.0344523485017562,0.0314965853579794,0.0376853874907769,39.83228511530398,35.53699496917402,44.29004162666128,3.5020211021140857,31.865828092243188,17.81970649895178,12.159329140461216,6.918238993710692,6.918238993710692,24.31865828092243,9.853249475890989,477,False,3.5398979745150925,36.93379790940767,14.634146341463412,8.362369337979095,6.968641114982578,7.665505226480835,25.43554006968641,14.285714285714285,287,False,3.4448070895925644,24.210526315789476,22.63157894736842,17.894736842105264,6.842105263157896,5.789473684210527,22.63157894736842,3.1578947368421044,190,False,0.9533353788640033,0.94915725368878,0.9794646262148283,0.5513953384995862,0.6767828908083656,0.356038805981587,0.7523653586817948,0.8129700722485729,0.6677517160982076,0.2740320867411411,0.3463687150837988,0.20502607871028922,0.6136837328025722,0.6477629843862894,0.5922453524625588
