Country,ISO3,GDP (log_2000_2024),GDP (log_2000_2024)_Cluster,CPI (2000_2024),CPI (2000_2024)_Cluster,RDE (2000_2023),RDE (2000_2023)_Cluster,GEE (2000_2024),GEE (2000_2024)_Cluster,HDI (2000_2023),HDI (2000_2023)_Cluster,WGI (2000_2024),WGI (2000_2024)_Cluster,AFI (2000_2024),AFI (2000_2024)_Cluster,GII (2000-2025),GII (2000-2025)_Cluster,RDE,RDE_Cluster,GDP,GDP_Cluster,Gross_R&D_$,Gross_R&D_$_Cluster,Net_R&D_$,Net_R&D_$_Cluster,Net_R&D_%,Net_R&D_%_Cluster,Retraction_Cost_%,Retraction_Cost_%_Cluster,Paper_Cost_$,Paper_Cost_$_Cluster,Valid_Paper_Cost_%_(RDE/(Total_Pub-Tot_Retracted),Valid_Paper_Cost_%_(RDE/(Total_Pub-Tot_Retracted)_Cluster,RARE,RARE_Cluster,Gross_R&D_$_log,Gross_R&D_$_log_Cluster,Retraction_Cost_$_log,Retraction_Cost_$_log_Cluster,Paper_Cost_$_log,Paper_Cost_$_log_Cluster,RARE_log,RARE_log_Cluster,GDP_BillionUSD,GDP_BillionUSD_Cluster,Retraction_Cost_BillionUSD,Retraction_Cost_BillionUSD_Cluster,Net_R&D_%_log,Net_R&D_%_log_Cluster
U Arab Emirates,ARE,26.39168657,0,65.77272727,1,1.06284875,0,3.91280667,0,0.852375,1,67.82449184,1,0.17568,1,44.15448883,0,0.010628487,0,2.9E+11,0,3077763972,0,3072704342,0,0.010611015,0,1.75E-05,0,29588.47876,1,0.0000102,0,3.37E-05,0,21.84746919,0,15.43680409,0,10.29517413,0,3.37E-05,0,289.5768539,0,0.00505963,0,0.010555113,0
Argentina,ARG,26.64962031,0,33.52,0,0.51062913,0,4.865823791,0,0.837125,1,46.99064481,0,0.92752,0,26.77795458,0,0.005106291,0,3.75E+11,0,1913765107,0,1913253930,0,0.005104927,0,1.36E-06,0,7302.523789,0,0.00000195,0,0.000136902,0,21.3723384,0,13.1444725,0,8.896112221,0,0.000136893,0,374.7857289,0,0.000511177,0,0.005091941,0
Australia,AUS,27.6627809,0,82.08,1,2.0003975,1,5.262166818,0,0.929625,0,84.74286483,1,0.89316,0,48.00581661,0,0.020003975,1,1.03E+12,3,20649493430,3,20639887995,3,0.01999467,1,9.31E-06,0,10902.87723,1,0.00000106,0,9.17E-05,0,23.75095662,0,16.07783973,0,9.296873714,0,9.17E-05,0,1032.269508,3,0.009605435,4,0.019797402,1
Austria,AUT,26.64397695,0,76.64,1,2.698466087,1,5.457321333,0,0.910666667,0,83.17541459,1,0.96636,0,50.09675661,0,0.026984661,1,3.73E+11,0,10056552607,3,10054558472,3,0.02697931,1,5.35E-06,0,18812.59081,1,0.00000505,0,5.31E-05,0,23.03149026,0,14.50572125,0,9.842334803,0,5.31E-05,0,372.6766349,0,0.001994135,0,0.026621785,1
Belgium,BEL,26.8453896,0,73.04,1,2.346709565,1,6.415417522,0,0.924291667,0,78.39695536,1,0.96736,0,48.46334069,0,0.023467096,1,4.56E+11,0,10697047180,3,10694058085,3,0.023460538,1,6.56E-06,0,14945.4789,1,0.00000328,0,6.69E-05,0,23.09323358,0,14.91048182,0,9.612231026,0,6.69E-05,0,455.8317459,0,0.002989096,0,0.02318957,1
Bulgaria,BGR,24.56466914,0,40.4,0,0.615056087,0,4.00949108,0,0.799791667,1,52.36206094,0,0.91084,0,39.09276293,0,0.006150561,0,46590809612,0,286559610.5,0,286500738.5,0,0.006149297,0,1.26E-06,0,3270.668384,0,0.00000702,0,0.000305685,0,19.47345714,0,10.98313837,0,8.093055343,0,0.000305638,0,46.59080961,0,5.89E-05,0,0.006130467,0
Brazil,BRA,28.01006293,0,37.875,0,1.12343381,0,5.337213657,0,0.745666667,1,49.84036236,0,0.8002,1,32.8689997,0,0.011234338,0,1.46E+12,3,16412066129,3,16405681583,3,0.011229968,0,4.37E-06,0,13613.1032,1,0.000000932,0,7.34E-05,0,23.52128264,0,15.66939102,0,9.518861535,0,7.34E-05,0,1460.88412,3,0.006384545,0,0.01116738,0
Canada,CAN,28.01272282,0,83.04,1,1.834497917,1,4.900731037,0,0.921125,0,84.6857048,1,0.90856,0,51.06435452,0,0.018344979,1,1.46E+12,3,26871268396,3,26861190838,3,0.018338099,1,6.88E-06,0,11570.10017,1,0.00000079,0,8.64E-05,0,24.01432346,0,16.12582156,0,9.356265904,0,8.64E-05,0,1464.775084,3,0.010077557,4,0.018171984,1
Switzerland,CHE,27.08351049,0,86.36,1,2.882265,1,4.962177836,0,0.939041667,0,88.28103138,1,0.91216,0,65.96195145,0,0.02882265,1,5.78E+11,3,16670670376,3,16665287409,3,0.028813343,1,9.31E-06,0,17197.97757,1,0.00000297,0,5.81E-05,0,23.53691675,0,15.49875045,0,9.752605217,0,5.81E-05,0,578.3878434,3,0.005382967,0,0.028406044,1
Chile,CHL,25.97890469,0,70.04,1,0.358136667,0,4.416576158,0,0.830291667,1,74.47349844,1,0.95772,0,33.06609233,0,0.003581367,0,1.92E+11,0,686347000.9,0,686132214.4,0,0.003580246,0,1.12E-06,0,3068.377715,0,0.0000016,0,0.000325803,0,20.34689389,0,12.27740416,0,8.029230121,0,0.00032575,0,191.643879,0,0.000214786,0,0.003573852,0
